respondent_id,age,sex,education,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,sought_support
R146,18,M,Some college,4,2,4,3,1,3,3,5,2,1,2,3,4,4,5,3,2,4,5,5,5,4,4,3,4,2,4,5,2,4,2,2,3,2,2,4,2,3,4,1,1
R147,36,F,Graduate,4,3,5,5,1,3,5,4,3,3,2,4,2,3,3,4,1,3,4,5,4,3,2,5,3,4,3,3,1,4,3,2,4,2,2,4,3,3,3,3,1
R148,62,M,Some college,4,3,2,2,3,3,3,4,4,4,1,1,4,3,2,4,2,5,2,4,4,8,4,3,1,3,3,3,4,3,5,3,2,5,4,2,3,1,4,4,0
R149,78,F,Graduate,5,3,5,4,3,3,3,4,2,5,1,3,3,3,3,3,2,2,3,2,2,3,3,4,1,4,2,3,1,3,1,3,3,3,2,4,1,3,4,3,0
R150,62,F,High school,2,4,3,4,5,3,4,5,1,4,3,4,3,2,4,3,1,3,1,3,2,3,3,2,3,4,2,3,4,4,2,3,2,2,2,4,3,2,3,4,0
R151,81,M,Some college,1,4,4,4,3,4,2,4,2,3,4,5,4,2,4,5,5,5,3,3,4,4,2,4,3,3,5,4,2,3,3,2,2,2,4,5,3,4,2,2,0
R152,61,F,Bachelors,4,3,2,3,3,5,3,4,4,3,4,3,5,4,5,4,2,3,2,4,4,3,2,4,4,2,3,4,2,5,2,5,2,4,2,3,3,2,5,3,1
R153,59,M,Graduate,5,2,3,3,3,4,4,4,5,3,2,3,3,3,3,2,1,3,5,3,4,5,1,3,3,2,4,3,5,3,3,5,4,1,5,2,5,3,5,3,1
R154,28,F,High school,2,4,2,3,2,4,5,3,2,5,2,4,5,3,5,3,4,4,4,3,5,3,3,5,5,3,3,3,3,3,4,4,8,2,3,4,5,1,3,4,0
R155,56,M,High school,3,3,1,3,4,2,1,4,1,1,2,1,3,1,3,2,3,2,2,2,3,2,5,3,2,1,3,1,3,3,2,2,3,5,2,2,1,5,2,3,0
R156,56,M,Some college,1,5,3,3,5,3,3,4,3,2,3,3,3,1,4,3,5,2,4,1,3,3,3,4,4,3,4,3,2,3,2,4,3,4,3,4,2,4,4,2,0
R157,45,F,Some college,3,5,5,1,9,2,4,5,3,2,2,5,3,2,2,4,4,3,3,2,5,5,3,4,5,4,3,4,1,4,4,1,2,3,2,4,1,1,3,3,1
R158,70,F,Graduate,2,4,2,4,1,3,3,2,4,3,3,3,4,5,2,3,5,2,3,4,4,2,2,3,1,3,3,3,4,2,2,1,4,4,2,3,3,4,3,5,0
R159,27,F,High school,2,1,3,3,5,2,2,1,1,1,4,2,2,3,1,1,5,1,2,3,2,1,5,3,2,2,3,1,2,2,1,1,2,5,2,1,3,5,2,3,0
R160,34,F,High school,5,3,2,3,3,5,3,3,4,5,3,4,2,5,4,4,2,3,4,4,5,3,4,5,5,3,5,3,4,3,4,4,3,2,5,4,3,3,4,1,1
R161,62,M,Some college,3,2,4,4,2,3,2,3,2,3,1,4,2,2,4,3,2,2,5,4,3,4,2,5,4,5,3,4,2,2,3,4,5,3,3,5,3,3,4,3,0
R162,56,M,Some college,3,5,4,4,4,1,4,4,2,3,4,2,5,3,2,4,4,3,2,4,1,2,3,3,2,4,4,3,4,3,3,2,2,5,3,5,1,3,2,2,0
R163,52,M,Graduate,5,3,4,3,2,5,4,5,5,4,1,5,4,3,5,5,2,5,3,5,5,8,1,5,5,3,5,5,1,4,4,5,5,2,5,5,3,1,5,1,1
R164,31,M,High school,2,4,4,5,1,5,4,3,3,4,2,3,5,4,5,1,3,5,4,2,4,4,1,4,2,3,3,1,4,2,2,3,5,3,3,3,4,2,2,2,1
R165,22,M,High school,4,4,4,5,9,5,5,2,3,4,1,5,5,1,5,5,4,4,4,3,4,5,1,4,2,4,4,4,2,3,2,5,2,2,5,4,5,1,5,2,1
R166,22,M,Graduate,2,1,2,2,2,3,2,1,2,2,2,3,3,1,2,2,4,3,2,1,3,3,2,2,1,4,4,3,2,4,5,2,2,3,4,2,4,4,2,4,1
R167,22,F,Some college,2,3,4,4,2,4,4,4,3,5,3,2,5,3,5,3,3,2,2,4,3,1,4,4,2,3,5,5,4,3,1,5,3,2,2,4,4,3,4,3,0
R168,28,F,Some college,3,4,2,4,1,2,2,2,3,3,1,3,3,5,2,3,4,4,3,3,2,3,3,2,3,4,3,4,3,1,2,3,4,3,3,3,3,4,3,1,0
R169,21,F,Bachelors,2,2,3,1,2,2,3,3,4,4,4,3,3,2,3,1,3,3,5,4,3,8,5,3,4,4,5,4,2,4,2,2,1,2,4,2,5,4,3,4,0
R170,79,M,Graduate,5,4,3,3,4,2,4,3,3,4,4,4,4,4,5,4,3,3,3,5,3,4,3,4,2,1,5,5,3,5,4,3,2,3,5,4,3,2,5,2,1
R171,71,F,Bachelors,3,1,3,2,9,3,3,1,4,5,3,5,2,4,4,3,1,3,4,3,3,3,3,4,5,4,5,4,3,5,5,5,3,1,3,4,4,3,3,2,1
R172,62,F,High school,4,4,2,3,3,4,3,1,3,4,3,2,4,5,3,5,4,2,4,3,2,2,5,3,3,2,2,3,4,2,2,2,2,4,1,5,2,4,3,2,0
R173,54,F,Bachelors,3,2,3,3,4,3,4,1,4,2,5,4,4,3,2,2,4,3,3,3,1,3,4,3,2,3,1,3,4,2,1,5,3,4,3,2,4,2,3,3,0
R174,80,M,High school,4,1,2,3,5,1,2,2,1,1,4,2,3,9,1,3,5,2,2,1,1,2,3,1,1,1,1,1,3,1,4,3,3,5,1,2,2,4,1,5,0
R175,36,F,Bachelors,1,1,3,3,4,2,5,3,1,2,4,1,1,9,3,5,3,1,,2,2,4,4,3,3,1,4,3,3,1,1,2,3,5,4,1,3,5,1,4,1
R176,25,F,Some college,3,3,3,2,3,2,2,2,2,4,3,4,3,3,2,4,5,5,4,3,3,5,5,3,3,5,2,4,4,4,2,3,1,2,4,5,3,3,2,4,1
R177,28,M,Bachelors,3,4,5,4,3,2,1,5,2,1,5,1,3,3,1,3,3,3,1,3,2,2,5,2,4,2,3,1,2,2,2,3,4,4,2,1,1,3,3,3,0
R178,29,F,High school,5,4,3,2,2,5,5,3,4,5,3,4,3,3,4,4,3,4,2,5,4,2,1,2,5,2,4,4,4,2,2,4,4,2,3,3,3,3,3,4,0
R179,71,M,Graduate,2,5,5,4,2,5,5,3,5,3,1,4,5,4,5,5,2,2,3,4,3,8,1,4,3,5,3,4,3,4,5,3,5,1,5,4,5,1,4,2,1
R180,81,M,Bachelors,4,5,4,4,9,4,2,5,4,3,3,3,3,3,5,3,3,4,4,5,4,4,3,4,3,2,2,5,2,4,5,4,5,2,5,3,2,2,5,2,1
R181,37,F,High school,3,3,5,2,4,4,4,3,3,3,4,2,3,3,3,1,2,4,2,2,3,3,4,5,2,3,4,4,1,4,5,5,5,3,4,4,4,2,3,1,0
R182,58,F,High school,4,4,3,5,3,3,3,4,7,5,2,4,4,3,3,5,4,5,4,2,4,5,3,4,3,3,4,3,2,3,4,4,4,2,5,4,5,2,4,3,1
R183,28,F,Graduate,3,4,2,4,9,5,4,4,3,3,2,4,5,9,3,2,1,3,4,3,3,2,3,2,2,3,4,3,4,3,2,5,4,2,3,1,4,4,3,2,0
R184,29,F,Some college,3,4,5,1,1,2,2,2,7,3,2,2,2,9,2,4,3,4,3,1,2,2,4,4,3,2,5,4,5,3,2,3,4,4,2,5,2,2,3,4,1
R185,36,M,Some college,4,1,5,4,3,3,3,3,3,4,3,3,4,2,4,4,4,3,2,2,2,3,1,3,2,1,1,3,4,3,3,5,3,1,3,4,3,2,2,3,0
R186,58,M,Graduate,5,4,4,4,5,5,4,3,5,5,4,4,4,3,2,3,3,3,3,4,4,2,2,2,5,4,5,3,3,2,3,3,3,2,3,4,4,1,4,1,1
R187,75,F,Some college,2,2,2,1,4,2,2,2,4,2,5,2,3,1,2,1,4,1,1,1,3,3,3,3,3,1,2,3,3,2,4,3,1,5,2,4,3,5,1,5,0
R188,77,F,High school,4,3,3,5,2,5,5,4,4,5,3,4,5,4,5,5,1,3,3,3,4,3,3,4,5,5,4,5,1,4,5,5,1,1,4,3,3,1,4,2,0
R189,26,M,Some college,5,5,3,2,3,2,4,4,4,4,4,4,3,5,4,3,2,4,2,5,4,4,3,5,3,4,3,2,2,4,,4,2,2,3,3,3,2,4,4,0
R190,37,F,Graduate,3,3,2,4,5,1,1,1,3,2,5,2,2,9,2,2,4,3,1,1,1,1,5,3,3,2,3,2,5,1,3,2,2,3,1,2,1,5,1,5,0
R191,42,F,High school,3,1,1,1,5,1,2,1,2,1,4,2,1,2,2,3,4,3,1,2,1,2,5,3,3,3,2,2,5,3,4,2,3,5,1,2,2,5,3,4,0
R192,63,F,Bachelors,2,2,2,1,5,3,2,4,1,1,3,1,2,3,3,3,5,2,4,4,3,3,5,3,1,2,1,1,2,2,3,2,2,3,2,4,5,1,3,2,0
R193,80,M,High school,5,3,2,5,4,3,2,5,3,3,2,5,4,2,5,3,3,3,3,4,5,4,4,2,2,3,2,4,2,4,4,1,2,2,1,4,2,3,2,5,0
R194,34,F,High school,2,2,3,1,3,2,4,3,3,2,2,1,2,1,1,2,1,3,2,2,1,3,4,2,5,2,5,4,3,2,1,2,3,3,1,2,3,5,2,5,0
R195,49,F,Some college,4,3,2,2,4,2,,5,4,3,5,3,4,5,4,5,2,4,5,4,4,8,5,4,4,4,4,4,2,4,2,2,3,3,1,4,4,3,2,5,0
R196,32,F,Some college,5,5,1,4,4,3,3,3,3,3,4,5,4,4,2,3,3,4,4,5,4,3,5,4,4,2,1,4,1,5,3,2,5,2,3,5,5,3,3,3,0
R197,71,M,Bachelors,5,4,5,4,3,4,2,3,4,3,3,3,4,3,3,3,2,2,3,1,3,3,3,4,3,3,5,3,3,5,3,4,5,3,5,4,4,4,2,1,0
R198,34,F,High school,4,4,1,5,3,5,1,4,4,2,3,4,4,3,4,1,4,5,3,3,2,3,3,3,2,4,3,4,3,3,4,2,5,1,3,5,4,3,3,3,1
R199,27,M,Graduate,5,2,3,3,2,4,3,1,2,4,4,2,3,2,4,2,5,1,2,3,3,4,3,1,5,5,1,3,3,1,4,2,2,4,4,3,2,3,4,2,1
R200,61,F,Bachelors,2,1,3,4,3,2,4,2,3,4,3,3,1,4,3,4,4,5,4,2,3,5,3,2,2,3,4,5,2,5,4,3,4,5,4,3,2,4,2,2,1
R201,78,F,Some college,3,2,3,4,5,1,1,2,1,3,5,3,4,3,3,3,5,3,2,2,3,2,3,1,1,2,1,2,3,2,3,4,1,4,1,1,3,5,2,5,0
R202,78,M,Bachelors,3,3,4,3,4,3,2,2,2,2,4,2,2,4,5,2,3,1,3,3,1,1,5,2,4,4,4,3,1,2,3,1,1,5,4,2,2,3,4,2,0
R203,25,F,Graduate,2,1,2,3,2,3,3,2,4,4,3,3,3,5,3,2,3,4,4,5,4,4,4,4,4,1,4,3,2,5,,4,3,4,3,3,3,4,4,3,1
R204,55,M,High school,3,2,3,2,2,2,2,2,2,2,4,1,3,4,2,3,3,2,4,2,3,3,5,4,3,3,4,3,3,1,3,2,2,2,4,3,4,1,2,5,1
R205,32,M,Some college,1,3,3,2,4,4,3,1,2,2,2,1,1,1,4,3,4,4,3,2,1,1,4,2,2,2,2,2,3,2,4,3,2,4,3,5,4,3,2,3,0
R206,37,M,Some college,3,4,1,1,4,1,3,3,1,2,4,3,2,5,3,1,3,3,3,2,1,3,4,4,4,1,2,1,3,5,2,2,2,3,2,2,2,2,3,4,0
R207,47,M,Graduate,2,3,3,3,3,1,2,2,2,4,5,2,2,2,2,2,2,4,3,3,2,3,2,2,3,2,2,2,4,5,1,3,2,3,3,2,3,4,3,5,0
R208,77,M,Bachelors,3,5,5,5,2,4,5,3,3,5,2,4,5,4,4,4,2,2,2,3,4,2,2,5,3,5,4,5,1,3,3,2,3,1,2,4,5,2,4,1,1
R209,62,M,High school,3,1,1,3,4,2,2,4,3,5,4,2,1,2,2,4,1,4,1,3,2,4,2,2,4,3,2,3,3,1,3,2,4,4,2,4,3,5,4,3,0
R210,69,M,Graduate,4,2,4,2,3,3,4,3,3,3,3,2,5,3,1,2,2,3,,4,3,4,4,3,3,3,2,4,2,3,2,5,1,2,4,4,4,2,4,1,1
R211,79,M,Some college,3,2,1,2,5,3,3,5,2,1,2,3,3,2,2,2,4,3,1,3,3,3,5,1,2,3,1,2,4,3,1,2,3,5,2,1,3,3,4,3,0
R212,29,M,High school,2,2,2,1,3,2,1,2,3,1,4,3,1,2,1,1,4,3,,2,2,1,3,1,1,2,3,2,4,1,4,2,1,5,2,1,2,5,2,3,0
R213,74,F,Some college,3,4,2,5,9,4,4,3,4,5,2,5,3,5,4,4,3,2,3,5,4,5,2,4,4,4,5,3,3,3,5,5,2,3,3,4,3,2,5,2,1
R214,19,F,Graduate,2,1,4,2,5,1,2,2,1,1,5,1,1,1,1,2,5,2,2,2,2,1,5,1,1,3,3,1,4,2,1,3,2,5,2,1,2,5,1,5,0
R215,60,F,Some college,3,5,1,2,4,3,2,3,4,2,3,4,2,2,4,3,3,1,3,4,3,5,4,2,4,1,2,2,3,2,,1,2,2,4,3,4,4,2,4,1
R216,19,F,Some college,3,1,2,4,3,3,5,3,3,5,4,4,3,3,3,5,3,4,5,5,4,3,3,2,4,5,3,2,3,3,3,3,4,3,4,5,4,3,3,4,0
R217,40,M,Some college,2,4,1,3,3,2,2,1,2,3,2,2,2,3,1,3,5,2,4,4,2,2,3,2,2,2,2,1,5,1,1,1,2,5,1,3,3,3,2,3,0
R218,58,M,High school,2,3,2,2,5,1,1,3,3,1,2,3,1,1,2,2,4,1,1,2,3,2,3,3,1,1,4,2,4,4,2,3,4,5,3,1,1,5,2,4,0
R219,26,M,Graduate,5,2,3,4,4,5,3,2,3,3,5,3,3,4,1,4,3,3,4,1,4,4,3,4,1,4,5,4,3,3,3,4,5,3,3,1,3,4,1,3,0
R220,34,F,Graduate,3,3,4,2,3,5,3,2,5,3,1,3,4,2,5,3,1,5,3,5,4,5,3,2,5,4,3,4,2,3,5,2,5,1,2,2,3,2,4,4,1
R221,42,M,High school,3,2,4,3,4,3,3,5,1,3,5,3,2,1,4,1,3,1,2,2,3,1,3,3,1,1,2,1,4,4,1,3,2,5,3,4,4,4,2,3,0
R222,79,F,Bachelors,3,5,1,4,3,3,2,3,3,3,5,4,4,3,5,3,4,2,1,2,2,3,2,5,4,3,2,4,3,5,4,2,4,2,3,3,3,3,3,4,0
R223,62,F,High school,2,2,3,4,9,3,3,3,3,4,2,3,3,3,2,4,2,3,3,4,3,5,2,3,4,4,3,4,5,4,4,4,5,4,4,4,3,5,4,2,0
R224,22,M,High school,5,3,3,4,5,3,2,4,2,3,3,1,2,3,1,5,5,2,2,2,2,1,5,1,2,5,4,2,5,2,3,1,3,3,3,1,1,4,3,4,0
R225,32,F,Some college,3,3,4,5,3,4,4,5,1,2,2,4,5,4,4,3,3,4,5,5,4,3,1,3,3,5,4,5,1,3,5,5,5,2,4,3,4,1,5,1,0
R226,81,F,Some college,4,3,2,3,2,3,4,3,4,3,5,3,5,9,3,5,4,5,4,5,2,2,2,5,2,5,4,5,1,5,3,3,5,3,4,4,5,2,4,5,0
R227,72,M,Some college,3,4,4,3,1,4,3,4,4,4,3,2,5,5,3,1,2,4,3,5,4,5,2,3,4,5,2,4,3,4,3,4,4,1,4,5,3,2,2,4,0
R228,64,M,Bachelors,4,4,2,1,2,4,4,3,2,3,5,3,3,4,3,2,2,2,4,2,4,3,2,3,3,4,3,3,1,2,,5,1,2,4,3,5,1,3,3,0
R229,66,F,Bachelors,1,5,3,1,4,2,2,1,3,2,4,1,1,1,1,2,5,3,1,3,1,3,2,1,2,2,5,1,5,3,3,1,3,4,3,3,2,5,2,4,0
R230,35,M,Some college,2,2,4,2,2,3,3,4,2,4,3,2,3,3,2,3,3,3,1,1,1,4,3,1,4,5,2,3,3,5,4,2,2,4,4,3,2,4,3,3,0
R231,50,F,Graduate,4,3,5,4,4,2,3,1,1,2,2,2,2,1,3,1,5,2,3,3,1,2,5,3,4,1,3,2,5,3,2,3,3,3,2,3,4,3,1,2,1
R232,75,F,Graduate,2,1,4,4,4,2,,2,2,1,4,2,1,3,3,4,2,5,2,2,4,3,3,1,3,2,2,2,5,1,4,3,3,5,1,2,2,5,3,3,0
R233,19,M,Some college,4,2,2,5,3,3,3,4,3,4,4,4,2,4,3,2,3,2,3,4,3,4,4,5,3,2,2,3,5,1,2,3,8,2,5,1,2,3,4,3,0
R234,56,F,Bachelors,4,2,5,2,3,5,3,4,5,2,1,4,4,3,4,5,2,4,4,3,4,2,2,2,2,3,3,3,2,4,3,3,3,3,4,2,3,3,5,2,0
R235,63,F,High school,4,5,4,3,1,3,3,4,3,2,3,3,5,4,5,2,3,3,2,3,4,4,4,1,4,2,3,2,4,3,3,2,3,1,4,1,3,3,2,4,0
R236,21,M,Some college,4,3,2,4,2,3,2,5,4,4,2,2,3,2,3,5,3,4,3,2,4,4,3,4,2,3,3,3,4,3,3,4,1,3,5,4,1,4,3,3,0
R237,66,F,Some college,1,3,3,2,9,2,3,1,2,3,5,3,3,3,1,4,4,1,2,1,3,2,4,3,3,2,1,2,2,2,3,1,3,5,1,2,3,5,1,3,0
R238,45,M,Graduate,2,3,2,3,2,4,5,4,5,2,3,3,4,4,3,2,2,3,2,3,3,4,2,4,3,5,3,3,2,4,2,3,4,2,5,5,5,3,3,3,1
R239,78,M,Graduate,1,3,5,2,3,4,4,4,5,3,3,2,3,9,2,4,3,5,2,3,4,5,3,3,2,2,3,4,1,5,,4,3,3,2,2,4,4,3,3,0
R240,34,M,High school,3,4,4,3,3,4,5,4,3,4,2,3,3,2,5,2,2,3,4,4,5,4,3,3,3,4,5,3,1,3,3,3,5,3,3,5,2,2,3,2,0
R241,21,M,Graduate,3,3,1,2,4,2,1,2,3,1,2,2,4,1,1,4,3,5,4,2,3,8,3,4,1,2,5,3,3,3,1,2,3,3,1,3,3,4,3,3,0
R242,22,M,Some college,5,4,2,4,2,5,5,5,4,5,1,5,4,9,5,3,3,5,4,2,4,8,2,5,4,4,4,4,2,4,2,3,5,1,5,5,5,1,5,4,1
R243,39,F,Graduate,3,1,5,2,3,4,3,4,4,5,5,5,3,3,3,3,4,4,3,5,2,1,4,1,4,2,4,2,2,3,4,3,3,4,2,3,3,3,3,4,1
R244,75,F,Some college,4,5,4,3,3,3,5,5,4,4,4,4,3,4,3,3,3,4,4,5,2,4,2,4,2,2,3,3,2,4,5,2,2,2,3,3,2,3,4,3,1
R245,71,M,Graduate,3,5,3,4,2,2,4,4,3,3,1,3,3,5,3,1,1,4,5,4,2,4,2,5,3,4,2,5,2,5,4,3,3,3,3,5,5,2,2,3,1
R246,25,F,Some college,4,3,4,2,4,2,2,2,4,3,5,2,4,9,2,2,4,3,4,2,3,3,3,2,4,4,1,3,5,3,2,3,4,3,3,2,2,4,2,2,0
R247,58,M,Bachelors,5,1,3,3,3,4,4,5,2,2,2,5,3,3,2,2,1,3,1,5,3,4,1,4,3,2,4,3,2,3,5,2,5,2,5,3,3,5,3,1,1
R248,45,M,Bachelors,3,2,2,4,2,3,3,2,2,2,4,4,3,3,3,1,4,2,4,4,1,1,3,3,4,3,3,2,3,2,2,4,3,5,3,2,1,4,2,4,0
R249,18,F,High school,5,2,5,1,3,4,4,4,3,3,1,2,4,2,3,5,3,3,5,1,3,4,3,3,2,3,2,3,3,2,2,3,4,3,2,4,5,2,4,2,1
R250,46,M,Graduate,1,4,3,1,3,5,4,2,4,4,3,1,4,4,4,4,3,4,3,3,4,4,2,3,2,3,4,5,4,5,1,3,2,4,1,3,1,3,4,4,1
R251,67,M,Bachelors,4,4,3,5,3,2,4,2,3,5,1,5,4,9,4,4,2,3,5,4,5,4,4,4,3,4,2,3,4,4,3,3,5,3,5,2,2,3,4,3,0
R252,29,M,Some college,1,3,1,1,4,2,1,1,1,2,4,1,1,1,1,1,5,1,2,1,2,8,5,1,2,2,2,1,4,2,1,2,3,5,1,1,1,5,1,5,0
R253,22,M,Graduate,5,3,5,3,1,3,2,4,5,4,2,4,3,2,3,5,4,2,3,4,4,4,3,3,4,3,4,4,4,4,2,2,4,4,5,5,2,3,2,4,1
R254,35,F,Graduate,2,1,2,3,4,3,1,1,1,3,4,1,1,3,1,1,4,1,1,1,2,1,4,2,1,1,2,1,4,1,1,2,1,5,2,3,2,5,1,3,0
R255,57,M,High school,3,1,2,4,5,2,1,2,2,1,3,2,1,1,1,2,5,4,2,2,1,3,4,2,2,1,2,2,5,2,3,2,2,4,3,1,2,4,2,4,0
R256,33,F,Bachelors,3,5,3,5,3,2,3,3,4,3,1,4,5,9,4,4,5,5,4,3,4,2,3,1,5,4,4,5,5,5,2,4,2,3,4,5,4,3,5,4,0
R257,38,M,Graduate,4,3,2,2,3,3,4,3,2,4,4,1,2,3,3,4,4,4,5,4,2,2,4,3,4,3,1,1,1,3,2,4,4,4,5,1,3,1,4,3,0
R258,18,F,Bachelors,2,4,4,5,4,2,5,5,2,2,4,3,3,5,2,1,2,3,2,2,4,2,2,4,5,3,3,3,4,3,2,1,1,3,2,3,2,4,4,3,0
R259,73,F,High school,4,2,2,4,2,5,3,3,4,3,5,4,4,4,3,3,3,5,3,3,2,8,3,2,3,1,2,2,3,4,5,5,3,3,4,2,5,2,3,2,1
R260,81,F,Bachelors,2,2,3,2,5,3,3,3,3,3,3,1,2,3,2,2,4,1,2,1,1,1,4,2,2,3,2,1,4,5,3,2,2,4,3,2,3,5,1,4,0
R261,34,F,Graduate,3,4,3,4,4,3,3,5,2,4,4,3,5,4,4,3,3,4,5,3,5,3,3,4,4,5,3,2,3,3,5,2,5,2,3,5,4,3,3,3,0
R262,39,F,Bachelors,3,3,2,4,9,1,1,3,2,2,4,3,4,3,2,3,2,1,3,1,1,2,3,1,1,1,4,2,5,3,3,2,1,5,2,4,1,4,1,2,0
R263,42,F,Bachelors,1,2,1,3,3,1,1,3,1,1,4,3,3,2,2,2,3,3,1,2,1,2,5,1,5,4,3,1,3,2,3,1,2,5,2,2,1,4,3,5,0
R264,32,F,High school,3,4,5,4,3,4,2,3,5,2,1,4,3,5,5,4,3,4,4,2,2,4,1,5,3,3,4,4,4,3,4,3,4,4,5,5,4,2,3,3,1
R265,72,F,High school,3,5,4,2,1,4,4,4,3,5,3,4,2,5,2,2,3,1,3,5,4,1,3,5,2,5,4,4,4,4,3,3,3,3,3,3,4,2,3,3,0
R266,39,F,Bachelors,4,1,3,5,1,4,,3,4,3,1,3,5,5,1,3,2,2,3,3,5,5,5,3,5,5,4,4,3,3,3,4,5,3,4,2,5,2,4,1,1
R267,41,F,Bachelors,5,3,1,3,2,5,5,3,5,5,2,4,5,5,5,5,2,4,4,3,3,5,1,4,5,5,4,5,1,2,,3,4,1,3,5,5,2,5,1,0
R268,81,F,Some college,1,5,2,3,1,3,5,4,3,3,1,4,4,3,3,5,3,5,3,2,3,2,2,4,5,4,5,5,4,4,2,3,5,2,3,3,5,2,5,1,1
R269,44,F,Graduate,4,4,2,5,3,3,4,3,4,3,3,3,4,3,3,3,4,2,4,2,4,5,2,3,2,3,2,2,3,4,4,3,8,4,3,4,3,2,2,3,1
R270,45,F,Some college,3,4,4,1,1,3,,5,4,5,4,3,5,3,2,2,2,5,4,4,5,4,4,5,5,4,4,3,4,4,4,2,5,3,3,4,4,2,5,3,1
R271,19,M,Bachelors,4,3,3,1,4,4,3,3,2,3,3,4,3,3,4,2,4,4,3,4,4,4,4,4,5,5,4,3,3,4,3,3,2,3,2,3,3,2,4,3,0
R272,63,F,Bachelors,2,1,5,2,3,4,4,3,4,2,3,3,1,9,2,4,4,2,4,2,5,1,2,3,3,3,3,3,4,5,4,4,1,3,3,4,3,3,4,3,1
R273,39,F,Some college,2,4,4,2,4,2,3,1,2,3,5,2,3,2,4,5,4,3,,3,1,2,4,2,2,3,2,3,3,1,3,2,3,3,2,3,3,5,3,4,0
R274,35,F,Bachelors,1,3,3,1,4,2,3,2,1,4,3,2,2,2,4,3,4,3,5,2,2,8,4,3,2,3,1,1,4,4,2,1,2,3,1,2,4,4,1,5,0
R275,25,M,Some college,5,4,5,2,3,5,5,5,5,5,4,3,5,4,4,3,4,3,3,3,5,5,3,5,5,4,3,5,1,2,5,3,4,2,3,5,4,3,4,1,1
R276,24,F,Graduate,3,5,4,5,5,1,2,3,2,2,1,3,3,3,3,2,3,2,5,2,5,2,1,4,5,3,5,4,2,5,4,3,3,3,4,5,3,1,2,3,0
R277,47,M,High school,3,5,3,3,3,4,,5,4,3,1,5,4,1,3,5,2,4,5,3,3,4,2,4,4,3,2,4,5,3,5,5,4,3,4,3,4,2,3,2,1
R278,65,M,Bachelors,2,5,5,3,5,2,5,3,4,3,3,3,4,5,3,1,4,2,3,1,2,4,4,1,3,5,4,2,4,2,3,3,4,4,2,4,3,2,2,5,0
R279,40,M,Graduate,1,3,1,2,4,2,5,2,4,3,3,3,3,2,2,2,3,3,3,2,4,2,4,2,2,3,1,1,3,3,2,1,1,2,3,1,2,3,1,4,0
R280,42,F,Bachelors,2,4,3,5,4,4,4,5,2,2,3,2,4,5,2,3,5,3,2,2,3,2,4,3,4,2,5,4,4,3,4,2,5,1,4,4,4,2,1,2,1
R281,81,F,Bachelors,3,4,3,1,4,2,1,3,2,1,5,2,1,2,3,2,3,2,3,2,2,1,4,2,3,1,1,1,4,1,2,3,3,4,4,2,2,5,1,2,0
R282,54,M,Graduate,3,4,2,5,4,3,,2,4,4,2,4,2,4,5,3,3,5,1,5,3,3,3,3,3,4,2,3,3,4,3,4,2,3,2,1,2,5,4,5,0
R283,33,F,High school,3,2,2,5,5,4,5,3,2,3,3,2,1,4,4,2,2,3,3,4,4,3,4,3,3,3,5,3,2,4,3,2,5,2,4,2,4,3,2,2,0
R284,31,M,Some college,4,4,5,3,4,5,2,2,5,5,2,5,3,5,4,4,5,4,4,4,3,3,2,4,1,5,5,4,5,5,3,3,2,3,4,4,3,3,4,3,0
R285,75,F,High school,5,3,3,3,3,2,1,5,4,3,2,2,3,5,4,3,2,2,3,5,3,4,3,2,2,2,5,3,5,4,,5,3,3,4,4,4,2,5,4,1
R286,45,F,Some college,5,5,3,4,2,4,5,5,5,3,2,3,4,4,3,3,1,2,5,5,3,5,2,3,5,2,4,5,2,5,,4,3,2,4,4,4,1,5,2,1
R287,35,F,Bachelors,2,3,2,2,5,1,1,2,4,3,3,1,2,3,1,5,3,3,1,3,2,8,4,5,1,3,3,3,5,4,2,3,3,3,2,3,1,4,1,4,0
R288,27,M,High school,3,5,2,1,3,3,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,8,2,3,2,3,4,3,3,1,3,3,4,2,3,3,3,2,4,4,0
R289,57,M,Some college,5,5,4,3,4,4,5,2,3,5,1,3,3,5,2,5,2,5,3,4,5,4,3,4,5,4,3,4,3,4,3,5,5,1,4,3,3,1,5,1,1
R290,74,M,Graduate,3,5,4,2,2,3,,4,4,4,3,5,4,4,5,3,2,4,5,4,4,8,2,4,2,3,4,5,4,2,4,5,5,1,3,5,3,1,3,3,1
R291,73,M,High school,2,3,2,1,3,1,3,3,1,1,5,2,1,1,3,1,4,3,2,1,1,1,3,2,1,2,2,1,4,1,1,3,3,3,1,1,1,4,4,2,0
R292,32,F,Graduate,3,3,4,5,1,5,3,4,7,3,2,5,5,3,4,3,3,3,5,4,5,5,1,5,4,4,5,5,1,5,4,5,5,1,5,3,4,2,5,2,1
R293,81,M,Some college,3,3,2,3,3,3,1,3,7,2,2,3,2,4,4,3,4,2,3,3,2,1,4,3,4,2,1,2,2,2,4,1,4,4,3,4,1,4,5,4,1
